Wavelength (nm),Responsivity (A/W),Error
900,0.265,0
910,0.306,0
920,0.376,0
930,0.446,0
940,0.52,0
950,0.582,0
960,0.6,0
970,0.612,0
980,0.638,0
990,0.666,0
1000,0.689,0
1010,0.695,0
1020,0.686,0
1030,0.674,0
1040,0.672,0
1050,0.689,0
1060,0.717,0
1070,0.747,0
1080,0.769,0
1090,0.787,0
1100,0.794,0
1110,0.806,0
1120,0.805,0
1130,0.806,0
1140,0.813,0
1150,0.811,0
1160,0.819,0
1170,0.821,0
1180,0.829,0
1190,0.84,0
1200,0.838,0
1210,0.844,0
1220,0.852,0
1230,0.862,0
1240,0.873,0
1250,0.883,0
1260,0.891,0
1270,0.897,0
1280,0.902,0
1290,0.904,0
1300,0.908,0
1310,0.911,0
1320,0.914,0
1330,0.919,0
1340,0.926,0
1350,0.934,0
1360,0.941,0
1370,0.947,0
1380,0.955,0
1390,0.96,0
1400,0.965,0
1410,0.973,0
1420,0.974,0
1430,0.976,0
1440,0.976,0
1450,0.982,0
1460,0.989,0
1470,0.998,0
1480,1.01,0
1490,1.01,0
1500,1.02,0
1510,1.03,0
1520,1.04,0
1530,1.05,0
1540,1.05,0
1550,1.05,0
1560,1.04,0
1570,1.03,0
1580,1.02,0
1590,1.01,0
1600,1.01,0
1610,0.998,0
1620,0.985,0
1630,0.967,0
1640,0.945,0
1650,0.903,0
1660,0.796,0
1670,0.542,0
1680,0.332,0
1690,0.21,0
1700,0.137,0
