exposure_time,signal_avg,sigma_total,sigma_shot,sigma_fpn
0.14,2114.4307,302.95636,23.9958166599568,300.6019055000057
0.184,3405.0383,407.50858,40.471049180699396,404.45034141798675
0.228,5059.238,550.0955,40.732617289466724,547.8144738491878
0.272,6899.5728,712.7987,52.98745117067249,710.23170876718
0.317,9282.4795,903.2854,58.03150303080671,900.9503841921031
0.361,11706.245,1043.675,73.4987306021329,1040.6778136002458
0.405,14272.739,1184.6677,70.87279500667077,1182.1884037867462
0.449,16899.834,1344.7316,82.29431954013815,1341.89619385828
0.493,19507.227,1525.9934,83.08208389048718,1523.4526961662862
0.538,22470.854,1715.9493,94.8620359763318,1713.0785721181437
0.582,25241.45,1898.9333,96.53577962523453,1896.2550839409926
0.626,28252.209,2124.1057,109.43984276942368,2121.0852578183926
0.67,31348.635,2345.5996,119.43315164275757,2342.376565031462
0.714,34483.75,2529.6272,123.65579207116582,2526.4358284364093
0.758,37495.457,2707.9897,125.30563355326188,2704.9328546786014
0.802,40452.824,2882.049,129.81208157731365,2878.9773485730097
0.847,43181.336,3044.2744,135.52013894063109,3041.117564656359
0.891,45706.117,3118.038,140.078687271261,3114.754358130392
0.935,47607.61,3088.5356,149.39593746643268,3084.783234522069
0.979,48824.08,3074.0447,181.1618964897348,3068.5641784685154
1.023,49479.598,3090.1975,228.641602845951,3081.5902984608365
1.068,49869.64,3109.6355,,3109.5689831044797
1.112,50071.543,3127.0918,270.3806424989319,3115.2451040458723
1.156,50109.766,3145.3665,273.43151515051295,3133.3241065428274
1.2,50268.26,3156.4429,275.33586251056425,3144.2768505549056
